cp1,cp2,age
0000,01F5,1.1
01F6,01F9,3.0
01FA,0217,1.1
0218,021F,3.0
0220,0220,3.2
0221,0221,4.0
0222,0233,3.0
0234,0236,4.0
0237,0241,4.1
0242,024F,5.0
0250,02A8,1.1
02A9,02AD,3.0
02AE,02AF,4.0
02B0,02DE,1.1
02DF,02DF,3.0
02E0,02E9,1.1
02EA,02EE,3.0
02EF,02FF,4.0
0300,0345,1.1
0346,034E,3.0
034F,034F,3.2
0350,0357,4.0
0358,035C,4.1
035D,035F,4.0
0360,0361,1.1
0362,0362,3.0
0363,036F,3.2
0370,0373,5.1
0374,0375,1.1
0376,0377,5.1
037A,037A,1.1
037B,037D,5.0
037E,037E,1.1
037F,037F,7.0
0384,03CE,1.1
03CF,03CF,5.1
03D0,03D6,1.1
03D7,03D7,3.0
03D8,03D9,3.2
03DA,03DA,1.1
03DB,03DB,3.0
03DC,03DC,1.1
03DD,03DD,3.0
03DE,03DE,1.1
03DF,03DF,3.0
03E0,03E0,1.1
03E1,03E1,3.0
03E2,03F3,1.1
03F4,03F5,3.1
03F6,03F6,3.2
03F7,03FB,4.0
03FC,03FF,4.1
0400,0400,3.0
0401,040C,1.1
040D,040D,3.0
040E,044F,1.1
0450,0450,3.0
0451,045C,1.1
045D,045D,3.0
045E,0486,1.1
0487,0487,5.1
0488,0489,3.0
048A,048B,3.2
048C,048F,3.0
0490,04C4,1.1
04C5,04C6,3.2
04C7,04C8,1.1
04C9,04CA,3.2
04CB,04CC,1.1
04CD,04CE,3.2
04CF,04CF,5.0
04D0,04EB,1.1
04EC,04ED,3.0
04EE,04F5,1.1
04F6,04F7,4.1
04F8,04F9,1.1
04FA,04FF,5.0
0500,050F,3.2
0510,0513,5.0
0514,0523,5.1
0524,0525,5.2
0526,0527,6.0
0528,052F,7.0
0531,055F,1.1
0560,0560,11.0
0561,0587,1.1
0588,0588,11.0
0589,0589,1.1
058A,058A,3.0
058D,058E,7.0
058F,058F,6.1
0591,05A1,2.0
05A2,05A2,4.1
05A3,05AF,2.0
05B0,05B9,1.1
05BA,05BA,5.0
05BB,05C3,1.1
05C4,05C4,2.0
05C5,05C7,4.1
05D0,05EA,1.1
05EF,05EF,11.0
05F0,05F4,1.1
0600,0603,4.0
0604,0604,6.1
0605,0605,7.0
0606,060A,5.1
060B,060B,4.1
060C,060C,1.1
060D,0615,4.0
0616,061A,5.1
061B,061B,1.1
061C,061C,6.3
061D,061D,14.0
061E,061E,4.1
061F,061F,1.1
0620,0620,6.0
0621,063A,1.1
063B,063F,5.1
0640,0652,1.1
0653,0655,3.0
0656,0658,4.0
0659,065E,4.1
065F,065F,6.0
0660,066D,1.1
066E,066F,3.2
0670,06B7,1.1
06B8,06B9,3.0
06BA,06BE,1.1
06BF,06BF,3.0
06C0,06CE,1.1
06CF,06CF,3.0
06D0,06ED,1.1
06EE,06EF,4.0
06F0,06F9,1.1
06FA,06FE,3.0
06FF,06FF,4.0
0700,072C,3.0
072D,072F,4.0
0730,074A,3.0
074D,074F,4.0
0750,076D,4.1
076E,077F,5.1
0780,07B0,3.0
07B1,07B1,3.2
07C0,07FA,5.0
07FD,07FF,11.0
0800,083E,5.2
0840,085E,6.0
0860,086A,10.0
0870,089F,14.0
08A0,08A0,6.1
08A1,08A1,7.0
08A2,08AC,6.1
08AD,08B2,7.0
08B3,08B4,8.0
08B5,08B5,14.0
08B6,08BD,9.0
08BE,08C7,13.0
08C8,08D2,14.0
08D3,08D3,11.0
08D4,08E2,9.0
08E3,08E3,8.0
08E4,08FE,6.1
08FF,08FF,7.0
0900,0900,5.2
0901,0903,1.1
0904,0904,4.0
0905,0939,1.1
093A,093B,6.0
093C,094D,1.1
094E,094E,5.2
094F,094F,6.0
0950,0954,1.1
0955,0955,5.2
0956,0957,6.0
0958,0970,1.1
0971,0972,5.1
0973,0977,6.0
0978,0978,7.0
0979,097A,5.2
097B,097C,5.0
097D,097D,4.1
097E,097F,5.0
0980,0980,7.0
0981,09BC,1.1
09BD,09BD,4.0
09BE,09CD,1.1
09CE,09CE,4.1
09D7,09FA,1.1
09FB,09FB,5.2
09FC,09FD,10.0
09FE,09FE,11.0
0A01,0A01,4.0
0A02,0A02,1.1
0A03,0A03,4.0
0A05,0A4D,1.1
0A51,0A51,5.1
0A59,0A74,1.1
0A75,0A75,5.1
0A76,0A76,11.0
0A81,0A8B,1.1
0A8C,0A8C,4.0
0A8D,0AE0,1.1
0AE1,0AE3,4.0
0AE6,0AEF,1.1
0AF0,0AF0,6.1
0AF1,0AF1,4.0
0AF9,0AF9,8.0
0AFA,0AFF,10.0
0B01,0B33,1.1
0B35,0B35,4.0
0B36,0B43,1.1
0B44,0B44,5.1
0B47,0B4D,1.1
0B55,0B55,13.0
0B56,0B61,1.1
0B62,0B63,5.1
0B66,0B70,1.1
0B71,0B71,4.0
0B72,0B77,6.0
0B82,0BB5,1.1
0BB6,0BB6,4.1
0BB7,0BCD,1.1
0BD0,0BD0,5.1
0BD7,0BD7,1.1
0BE6,0BE6,4.1
0BE7,0BF2,1.1
0BF3,0BFA,4.0
0C00,0C00,7.0
0C01,0C03,1.1
0C04,0C04,11.0
0C05,0C33,1.1
0C34,0C34,7.0
0C35,0C39,1.1
0C3C,0C3C,14.0
0C3D,0C3D,5.1
0C3E,0C56,1.1
0C58,0C59,5.1
0C5A,0C5A,8.0
0C5D,0C5D,14.0
0C60,0C61,1.1
0C62,0C63,5.1
0C66,0C6F,1.1
0C77,0C77,12.0
0C78,0C7F,5.1
0C80,0C80,9.0
0C81,0C81,7.0
0C82,0C83,1.1
0C84,0C84,11.0
0C85,0CB9,1.1
0CBC,0CBD,4.0
0CBE,0CD6,1.1
0CDD,0CDD,14.0
0CDE,0CE1,1.1
0CE2,0CE3,5.0
0CE6,0CEF,1.1
0CF1,0CF2,5.0
0CF3,0CF3,15.0
0D00,0D00,10.0
0D01,0D01,7.0
0D02,0D03,1.1
0D04,0D04,13.0
0D05,0D28,1.1
0D29,0D29,6.0
0D2A,0D39,1.1
0D3A,0D3A,6.0
0D3B,0D3C,10.0
0D3D,0D3D,5.1
0D3E,0D43,1.1
0D44,0D44,5.1
